ID,Date,Time,Category,Details,Image Path,id,date,time,class,details,image_path
16.0,"March 24, 2025",10:55 AM,cheating,cheating detected with 0.41 confidence,cheating_frames/cheating_2025-03-24_10-55-30.jpg,,,,,,
17.0,"March 24, 2025",10:56 AM,Cheating,Cheating detected with 0.43 confidence,cheating_frames/Cheating_2025-03-24_10-56-24.jpg,,,,,,
18.0,"March 24, 2025",10:56 AM,Cheating,Cheating detected with 0.50 confidence,cheating_frames/Cheating_2025-03-24_10-56-30.jpg,,,,,,
19.0,"March 24, 2025",10:56 AM,Giving Cheats,Giving Cheats detected with 0.64 confidence,cheating_frames/Giving Cheats_2025-03-24_10-56-35.jpg,,,,,,
20.0,"March 24, 2025",10:56 AM,Mobile Detected,Mobile Detected detected with 0.46 confidence,cheating_frames/Mobile Detected_2025-03-24_10-56-37.jpg,,,,,,
21.0,"March 24, 2025",10:56 AM,Giving Cheats,Giving Cheats detected with 0.59 confidence,cheating_frames/Giving Cheats_2025-03-24_10-56-42.jpg,,,,,,
22.0,"March 24, 2025",10:56 AM,Mobile Detected,Mobile Detected detected with 0.59 confidence,cheating_frames/Mobile Detected_2025-03-24_10-56-42.jpg,,,,,,
23.0,"March 24, 2025",10:56 AM,Cheating,Cheating detected with 0.72 confidence,cheating_frames/Cheating_2025-03-24_10-56-46.jpg,,,,,,
24.0,"March 24, 2025",10:56 AM,Normal,Normal detected with 0.51 confidence,cheating_frames/Normal_2025-03-24_10-56-50.jpg,,,,,,
25.0,"March 24, 2025",10:56 AM,Cheating,Cheating detected with 0.62 confidence,cheating_frames/Cheating_2025-03-24_10-56-51.jpg,,,,,,
26.0,"March 24, 2025",10:56 AM,Mobile Detected,Mobile Detected detected with 0.41 confidence,cheating_frames/Mobile Detected_2025-03-24_10-56-52.jpg,,,,,,
27.0,"March 24, 2025",10:56 AM,Cheating,Cheating detected with 0.59 confidence,cheating_frames/Cheating_2025-03-24_10-56-56.jpg,,,,,,
28.0,"March 24, 2025",10:56 AM,Giving Cheats,Giving Cheats detected with 0.49 confidence,cheating_frames/Giving Cheats_2025-03-24_10-56-57.jpg,,,,,,
29.0,"March 24, 2025",10:57 AM,Mobile Detected,Mobile Detected detected with 0.69 confidence,cheating_frames/Mobile Detected_2025-03-24_10-57-02.jpg,,,,,,
30.0,"March 24, 2025",10:57 AM,Cheating,Cheating detected with 0.53 confidence,cheating_frames/Cheating_2025-03-24_10-57-03.jpg,,,,,,
31.0,"March 24, 2025",10:57 AM,Giving Cheats,Giving Cheats detected with 0.54 confidence,cheating_frames/Giving Cheats_2025-03-24_10-57-05.jpg,,,,,,
32.0,"March 24, 2025",10:57 AM,Mobile Detected,Mobile Detected detected with 0.47 confidence,cheating_frames/Mobile Detected_2025-03-24_10-57-08.jpg,,,,,,
33.0,"March 24, 2025",10:57 AM,Giving Cheats,Giving Cheats detected with 0.41 confidence,cheating_frames/Giving Cheats_2025-03-24_10-57-13.jpg,,,,,,
34.0,"March 24, 2025",10:57 AM,Cheating,Cheating detected with 0.44 confidence,cheating_frames/Cheating_2025-03-24_10-57-14.jpg,,,,,,
35.0,"March 24, 2025",10:57 AM,Giving Cheats,Giving Cheats detected with 0.51 confidence,cheating_frames/Giving Cheats_2025-03-24_10-57-19.jpg,,,,,,
36.0,"March 24, 2025",10:57 AM,Cheating,Cheating detected with 0.67 confidence,cheating_frames/Cheating_2025-03-24_10-57-20.jpg,,,,,,
37.0,"March 24, 2025",10:57 AM,Mobile Detected,Mobile Detected detected with 0.50 confidence,cheating_frames/Mobile Detected_2025-03-24_10-57-23.jpg,,,,,,
38.0,"March 24, 2025",10:57 AM,Cheating,Cheating detected with 0.63 confidence,cheating_frames/Cheating_2025-03-24_10-57-25.jpg,,,,,,
39.0,"March 24, 2025",10:57 AM,Giving Cheats,Giving Cheats detected with 0.90 confidence,cheating_frames/Giving Cheats_2025-03-24_10-57-26.jpg,,,,,,
40.0,"March 24, 2025",10:57 AM,Mobile Detected,Mobile Detected detected with 0.51 confidence,cheating_frames/Mobile Detected_2025-03-24_10-57-29.jpg,,,,,,
41.0,"March 24, 2025",10:57 AM,Normal,Normal detected with 0.42 confidence,cheating_frames/Normal_2025-03-24_10-57-29.jpg,,,,,,
42.0,"March 24, 2025",10:57 AM,Cheating,Cheating detected with 0.51 confidence,cheating_frames/Cheating_2025-03-24_10-57-32.jpg,,,,,,
43.0,"March 24, 2025",10:57 AM,Giving Cheats,Giving Cheats detected with 0.48 confidence,cheating_frames/Giving Cheats_2025-03-24_10-57-32.jpg,,,,,,
44.0,"March 24, 2025",10:57 AM,Mobile Detected,Mobile Detected detected with 0.54 confidence,cheating_frames/Mobile Detected_2025-03-24_10-57-34.jpg,,,,,,
45.0,"March 24, 2025",10:57 AM,Giving Cheats,Giving Cheats detected with 0.88 confidence,cheating_frames/Giving Cheats_2025-03-24_10-57-37.jpg,,,,,,
46.0,"March 24, 2025",10:57 AM,Cheating,Cheating detected with 0.41 confidence,cheating_frames/Cheating_2025-03-24_10-57-38.jpg,,,,,,
